Average of Sales,City
2354.395,Jamestown
1603.136,Cheyenne
1263.4133333333332,Bellingham
1208.685,Independence
1082.386,Burbank
906.3495999999999,Buffalo
866.7232799999999,Burlington
861.0633333333334,Beverly
860.1475862068966,Lafayette
853.9866666666667,Sparks
835.655,Appleton
783.067,Torrance
772.795,Noblesville
758.363,Lehi
751.984,Kissimmee
733.5017391304348,Minneapolis
719.0142857142857,Morristown
697.16,Saint Peters
693.4361142857143,Round Rock
687.0033333333334,San Gabriel
675.665,Norman
649.3413333333333,Santa Barbara
644.232,Richardson
626.9585714285714,Harrisonburg
612.562625,North Las Vegas
575.6975,Great Falls
574.403,Twin Falls
562.4333333333333,Dubuque
562.4060000000001,Sacramento
557.096,Rio Rancho
534.679,Madison
515.5048387096774,Providence
510.5110666666667,Yonkers
496.63545454545454,Mobile
487.984,Missoula
487.90600000000006,Broken Arrow
485.36800000000005,Warwick
484.65,Murrieta
479.775,Edmond
444.768,Whittier
443.94,Saint Cloud
440.9702564102564,Atlanta
440.9593333333333,Midland
438.44975,Evanston
434.0811111111111,Kenosha
432.808,El Cajon
430.425,Muskogee
426.6848,Gresham
426.5099411764706,Tallahassee
423.97644444444444,Parma
423.28,Vacaville
421.30333333333334,Huntington Beach
419.80285714285714,Marietta
416.2625,Greenwood
415.6995,Buffalo Grove
414.21066666666667,Renton
404.4998,Watertown
388.12,Mishawaka
385.177,Pharr
380.18600000000004,Florence
378.81472916666667,Lakewood
377.30628,Amarillo
373.4778846153846,Fort Lauderdale
372.79200000000003,Plainfield
372.273,Montgomery
370.2292881355932,San Antonio
369.5733333333333,Roswell
369.10386086956527,Detroit
366.85200000000003,Pasco
366.744,Normal
359.508125,Virginia Beach
357.705464,Jacksonville
353.3775,Tamarac
347.20666666666665,Chula Vista
344.973125,Alexandria
344.0993725490196,Henderson
340.07748387096774,Concord
339.96,Orland Park
337.9268,Bethlehem
336.90886666666665,Arlington
333.576,Redding
333.1511111111111,Chesapeake
332.6764444444445,Orem
327.12,Texarkana
320.662,Dearborn
318.132125,Brentwood
316.81857142857143,Clarksville
312.1398024691358,Columbia
309.2179239130435,Newark
305.877,Waynesboro
305.454,Pleasant Grove
305.02933333333334,Longmont
304.43729268292685,Jackson
304.24424324324326,Franklin
303.4049423076923,Fresno
303.292875,Hesperia
302.370625,Lowell
301.96,Conway
301.96,Holyoke
294.76568421052633,Anaheim
293.5035,Camarillo
290.728,Highland Park
289.7025714285714,Spokane
287.8389090909091,Rockford
287.5409473684211,Des Moines
286.8182608695652,Oklahoma City
286.502,Washington
285.75,Woodstock
284.06333333333333,Lakeville
283.92,Lake Elsinore
283.92,Ontario
283.3474152637486,New York City
281.54,Mount Pleasant
279.53546470588236,San Diego
279.4385,Mansfield
278.4,Cedar Rapids
278.1588,Gilbert
278.138,Wheeling
277.24529545454544,Denver
276.82916666666665,Newport News
276.1234,Provo
275.30244444444446,Medina
274.27500000000003,Eau Claire
273.96,Manhattan
273.6175,Boise
272.71,Canton
272.5500516431925,Seattle
271.93,Moorhead
270.92266666666666,Lake Forest
268.56111111111113,Indianapolis
265.02909090909094,Jonesboro
264.954,Mount Vernon
264.3725,Lawton
263.74484313725486,Charlotte
263.6573333333333,Texas City
261.726,Milwaukee
261.46573333333333,Cranston
261.162,Carol Stream
260.34766666666667,Passaic
259.80006211180125,Springfield
257.5333636363637,Everett
256.74073684210526,Dover
255.4163,Huntsville
254.85847727272724,Lakeland
251.565,Coon Rapids
248.86866666666666,Des Plaines
247.47818181818184,Hampton
244.975375,Redondo Beach
244.5446814814815,Fort Worth
244.172,Eugene
242.69333333333336,Hackensack
240.45071428571427,Santa Ana
239.57333333333335,Farmington
239.12,Athens
238.21453434065936,Los Angeles
236.70850000000002,Long Beach
236.1966666666667,Bossier City
235.41690909090906,Hempstead
235.35830666666666,Plano
235.31444444444443,Greenville
232.89000000000001,Bangor
229.40069230769228,Oakland
228.33333333333334,Park Ridge
228.11344444444447,Apple Valley
225.4475,Omaha
223.967875,Westminster
223.90122222222223,Lorain
223.765,Gastonia
223.69048148148147,Louisville
223.3025,Georgetown
222.907,Elmhurst
220.7175,Maple Grove
218.08223999999998,San Francisco
218.07246913580246,Richmond
217.458,Inglewood
217.4,Warner Robins
215.03182608695653,Lancaster
214.635,Perth Amboy
213.72961538461539,Tulsa
212.34233333333336,Fairfield
211.786,Pomona
210.86725,Pueblo
210.768,Asheville
210.21625,Yuma
209.34010344827587,Nashville
207.91285714285715,Southaven
207.7375,Bowling Green
206.38833333333332,South Bend
205.3662857142857,Raleigh
204.6,Stockton
204.5897537593985,Philadelphia
204.0896,Olympia
203.56833333333336,Vallejo
203.47,Summerville
202.96,Gaithersburg
202.69613888888887,Wilmington
202.54999999999998,Woodbury
202.1665,Temecula
202.071625,Marion
201.28575,Lansing
198.07803333333334,Memphis
197.94115625,Decatur
197.28175,Tucson
197.01733333333334,Oak Park
195.22480000000002,Odessa
193.29818181818183,Manchester
192.13457142857143,Pocatello
191.42666666666665,Hattiesburg
191.399,Miramar
190.14658620689656,Clinton
189.16,Belleville
186.63494736842105,El Paso
186.37981818181817,Chico
185.1369230769231,Greensboro
