Order_ID,Order_Date,Ship_Date,Ship Mode,Segment,City,State,Region,Category,Sales
CA-2017-152156,8/11/2017,11/11/2017,Second Class,Consumer,Henderson,Kentucky,South,Furniture,261.96
CA-2017-152156,8/11/2017,11/11/2017,Second Class,Consumer,Henderson,Kentucky,South,Furniture,731.94
CA-2017-138688,12/6/2017,16/06/2017,Second Class,Corporate,Los Angeles,California,West,Office Supplies,14.62
US-2016-108966,11/10/2016,18/10/2016,Standard Class,Consumer,Fort Lauderdale,Florida,South,Furniture,957.5775
US-2016-108966,11/10/2016,18/10/2016,Standard Class,Consumer,Fort Lauderdale,Florida,South,Office Supplies,22.368
CA-2015-115812,9/6/2015,14/06/2015,Standard Class,Consumer,Los Angeles,California,West,Furniture,48.86
CA-2015-115812,9/6/2015,14/06/2015,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,7.28
CA-2015-115812,9/6/2015,14/06/2015,Standard Class,Consumer,Los Angeles,California,West,Technology,907.152
CA-2015-115812,9/6/2015,14/06/2015,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,18.504
CA-2015-115812,9/6/2015,14/06/2015,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,114.9
CA-2015-115812,9/6/2015,14/06/2015,Standard Class,Consumer,Los Angeles,California,West,Furniture,1706.184
CA-2015-115812,9/6/2015,14/06/2015,Standard Class,Consumer,Los Angeles,California,West,Technology,911.424
CA-2018-114412,15/04/2018,20/04/2018,Standard Class,Consumer,Concord,North Carolina,South,Office Supplies,15.552
CA-2017-161389,5/12/2017,10/12/2017,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,407.976
US-2016-118983,22/11/2016,26/11/2016,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,68.81
US-2016-118983,22/11/2016,26/11/2016,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,2.544
CA-2015-105893,11/11/2015,18/11/2015,Standard Class,Consumer,Madison,Wisconsin,Central,Office Supplies,665.88
CA-2015-167164,13/05/2015,15/05/2015,Second Class,Consumer,West Jordan,Utah,West,Office Supplies,55.5
CA-2015-143336,27/08/2015,1/9/2015,Second Class,Consumer,San Francisco,California,West,Office Supplies,8.56
CA-2015-143336,27/08/2015,1/9/2015,Second Class,Consumer,San Francisco,California,West,Technology,213.48
CA-2015-143336,27/08/2015,1/9/2015,Second Class,Consumer,San Francisco,California,West,Office Supplies,22.72
CA-2017-137330,9/12/2017,13/12/2017,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,19.46
CA-2017-137330,9/12/2017,13/12/2017,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,60.34
US-2018-156909,16/07/2018,18/07/2018,Second Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,71.372
CA-2016-106320,25/09/2016,30/09/2016,Standard Class,Consumer,Orem,Utah,West,Furniture,1044.63
CA-2017-121755,16/01/2017,20/01/2017,Second Class,Consumer,Los Angeles,California,West,Office Supplies,11.648
CA-2017-121755,16/01/2017,20/01/2017,Second Class,Consumer,Los Angeles,California,West,Technology,90.57
US-2016-150630,17/09/2016,21/09/2016,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,3083.43
US-2016-150630,17/09/2016,21/09/2016,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,9.618
US-2016-150630,17/09/2016,21/09/2016,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,124.2
US-2016-150630,17/09/2016,21/09/2016,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,3.264
US-2016-150630,17/09/2016,21/09/2016,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,86.304
US-2016-150630,17/09/2016,21/09/2016,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,6.858
US-2016-150630,17/09/2016,21/09/2016,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,15.76
CA-2018-107727,19/10/2018,23/10/2018,Second Class,Home Office,Houston,Texas,Central,Office Supplies,29.472
CA-2017-117590,8/12/2017,10/12/2017,First Class,Corporate,Richardson,Texas,Central,Technology,1097.544
CA-2017-117590,8/12/2017,10/12/2017,First Class,Corporate,Richardson,Texas,Central,Furniture,190.92
CA-2016-117415,27/12/2016,31/12/2016,Standard Class,Home Office,Houston,Texas,Central,Office Supplies,113.328
CA-2016-117415,27/12/2016,31/12/2016,Standard Class,Home Office,Houston,Texas,Central,Furniture,532.3992
CA-2016-117415,27/12/2016,31/12/2016,Standard Class,Home Office,Houston,Texas,Central,Furniture,212.058
CA-2016-117415,27/12/2016,31/12/2016,Standard Class,Home Office,Houston,Texas,Central,Technology,371.168
CA-2018-120999,10/9/2018,15/09/2018,Standard Class,Corporate,Naperville,Illinois,Central,Technology,147.168
CA-2017-101343,17/07/2017,22/07/2017,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,77.88
CA-2018-139619,19/09/2018,23/09/2018,Standard Class,Corporate,Melbourne,Florida,South,Office Supplies,95.616
CA-2017-118255,11/3/2017,13/03/2017,First Class,Corporate,Eagan,Minnesota,Central,Technology,45.98
CA-2017-118255,11/3/2017,13/03/2017,First Class,Corporate,Eagan,Minnesota,Central,Office Supplies,17.46
CA-2015-146703,20/10/2015,25/10/2015,Second Class,Consumer,Westland,Michigan,Central,Office Supplies,211.96
CA-2017-169194,20/06/2017,25/06/2017,Standard Class,Consumer,Dover,Delaware,East,Technology,45
CA-2017-169194,20/06/2017,25/06/2017,Standard Class,Consumer,Dover,Delaware,East,Technology,21.8
CA-2016-115742,18/04/2016,22/04/2016,Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,38.22
CA-2016-115742,18/04/2016,22/04/2016,Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,75.18
CA-2016-115742,18/04/2016,22/04/2016,Standard Class,Consumer,New Albany,Indiana,Central,Furniture,6.16
CA-2016-115742,18/04/2016,22/04/2016,Standard Class,Consumer,New Albany,Indiana,Central,Furniture,89.99
CA-2017-105816,11/12/2017,17/12/2017,Standard Class,Corporate,New York City,New York,East,Office Supplies,15.26
CA-2017-105816,11/12/2017,17/12/2017,Standard Class,Corporate,New York City,New York,East,Technology,1029.95
CA-2017-111682,17/06/2017,18/06/2017,First Class,Consumer,Troy,New York,East,Office Supplies,208.56
CA-2017-111682,17/06/2017,18/06/2017,First Class,Consumer,Troy,New York,East,Office Supplies,32.4
CA-2017-111682,17/06/2017,18/06/2017,First Class,Consumer,Troy,New York,East,Furniture,319.41
CA-2017-111682,17/06/2017,18/06/2017,First Class,Consumer,Troy,New York,East,Office Supplies,14.56
CA-2017-111682,17/06/2017,18/06/2017,First Class,Consumer,Troy,New York,East,Technology,30
CA-2017-111682,17/06/2017,18/06/2017,First Class,Consumer,Troy,New York,East,Office Supplies,48.48
CA-2017-111682,17/06/2017,18/06/2017,First Class,Consumer,Troy,New York,East,Office Supplies,1.68
CA-2016-135545,24/11/2016,30/11/2016,Standard Class,Consumer,Los Angeles,California,West,Technology,13.98
CA-2016-135545,24/11/2016,30/11/2016,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,25.824
CA-2016-135545,24/11/2016,30/11/2016,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,146.73
CA-2016-135545,24/11/2016,30/11/2016,Standard Class,Consumer,Los Angeles,California,West,Furniture,79.76
US-2016-164175,30/04/2016,5/5/2016,Standard Class,Home Office,Chicago,Illinois,Central,Furniture,213.115
CA-2015-106376,5/12/2015,10/12/2015,Standard Class,Corporate,Gilbert,Arizona,West,Office Supplies,1113.024
CA-2015-106376,5/12/2015,10/12/2015,Standard Class,Corporate,Gilbert,Arizona,West,Technology,167.968
CA-2017-119823,4/6/2017,6/6/2017,First Class,Consumer,Springfield,Virginia,South,Office Supplies,75.88
CA-2017-106075,18/09/2017,23/09/2017,Standard Class,Consumer,New York City,New York,East,Office Supplies,4.616
CA-2018-114440,14/09/2018,17/09/2018,Second Class,Consumer,Jackson,Michigan,Central,Office Supplies,19.05
US-2016-134026,26/04/2016,2/5/2016,Standard Class,Consumer,Memphis,Tennessee,South,Furniture,831.936
